               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.023692,           0.0055309,                   0,              0.9315,             0.92512,             0.92136,             0.51336,            0.033015,           0.0046545,                   0,             0.00011,             0.00011,             0.09901
                   1,            0.023372,           0.0052371,                   0,              0.9375,             0.91833,             0.92438,             0.51959,            0.032259,           0.0046348,                   0,          0.00022999,          0.00022999,             0.09793
                   2,            0.022719,           0.0050509,                   0,              0.9379,             0.92517,             0.93766,              0.5212,            0.034439,            0.004654,                   0,          0.00034992,          0.00034992,             0.09685
                   3,            0.023632,           0.0052306,                   0,             0.93241,             0.93878,             0.93786,             0.53107,            0.032263,           0.0046181,                   0,          0.00046977,          0.00046977,             0.09577
                   4,            0.023859,            0.005038,                   0,              0.9172,             0.91156,             0.91876,             0.51258,            0.035008,           0.0046877,                   0,          0.00058948,          0.00058948,            0.094689
                   5,            0.023052,           0.0049689,                   0,             0.91879,             0.92517,             0.93683,             0.50239,            0.034907,           0.0046968,                   0,          0.00070902,          0.00070902,            0.093609
                   6,            0.023273,           0.0051419,                   0,              0.9315,             0.92512,             0.93853,             0.52664,            0.032596,           0.0046722,                   0,          0.00082834,          0.00082834,            0.092528
                   7,            0.023449,           0.0050236,                   0,              0.9315,             0.92517,             0.92762,             0.49639,            0.033497,           0.0047006,                   0,          0.00094742,          0.00094742,            0.091447
                   8,            0.023926,           0.0051718,                   0,             0.93084,             0.91837,             0.91439,             0.50581,            0.032744,           0.0048014,                   0,           0.0010662,           0.0010662,            0.090366
                   9,            0.023888,           0.0051079,                   0,             0.91776,             0.91156,             0.91509,             0.47551,            0.036702,           0.0047318,                   0,           0.0011847,           0.0011847,            0.089285
                  10,            0.023791,            0.004951,                   0,             0.91275,             0.92515,             0.93377,              0.5135,            0.033899,           0.0047057,                   0,           0.0013027,           0.0013027,            0.088203
                  11,            0.025852,           0.0051876,                   0,                0.92,             0.93876,             0.93647,             0.51228,            0.034849,            0.004637,                   0,           0.0014204,           0.0014204,             0.08712
                  12,            0.024953,           0.0050645,                   0,             0.93243,             0.93877,             0.95206,             0.49769,            0.034488,           0.0047364,                   0,           0.0015376,           0.0015376,            0.086038
                  13,             0.02537,           0.0055349,                   0,             0.93655,             0.90476,             0.91823,             0.49476,            0.035229,            0.004768,                   0,           0.0016544,           0.0016544,            0.084954
                  14,             0.02534,           0.0051784,                   0,             0.88664,             0.90455,             0.89579,             0.44126,            0.040211,           0.0047764,                   0,           0.0017706,           0.0017706,            0.083871
                  15,            0.025701,           0.0051194,                   0,             0.93919,             0.94554,             0.93315,             0.51763,            0.034376,           0.0046997,                   0,           0.0018863,           0.0018863,            0.082786
                  16,            0.025218,           0.0052908,                   0,             0.92514,             0.92517,             0.90161,             0.47408,            0.035692,           0.0046482,                   0,           0.0020013,           0.0020013,            0.081701
                  17,            0.026784,           0.0052134,                   0,             0.90967,             0.89059,             0.92191,             0.49515,            0.034734,           0.0047534,                   0,           0.0021157,           0.0021157,            0.080616
                  18,            0.028121,           0.0054475,                   0,             0.91156,             0.91156,             0.92458,             0.49692,             0.03411,           0.0047032,                   0,           0.0022294,           0.0022294,            0.079529
                  19,            0.026423,           0.0054311,                   0,             0.91888,             0.92517,             0.91178,             0.48823,            0.034588,           0.0047847,                   0,           0.0023425,           0.0023425,            0.078442
                  20,            0.027485,           0.0052935,                   0,             0.93197,             0.93194,             0.93371,             0.49099,            0.034004,           0.0049335,                   0,           0.0024547,           0.0024547,            0.077355
                  21,            0.026853,           0.0052855,                   0,             0.91095,             0.90472,             0.90674,             0.45447,            0.037168,           0.0049218,                   0,           0.0025662,           0.0025662,            0.076266
                  22,             0.02712,           0.0057154,                   0,             0.92302,             0.89796,             0.90566,             0.44569,             0.03627,           0.0050369,                   0,           0.0026768,           0.0026768,            0.075177
                  23,               0.028,           0.0054766,                   0,             0.88158,             0.91154,             0.90627,             0.44192,            0.038167,           0.0048476,                   0,           0.0027866,           0.0027866,            0.074087
                  24,            0.028414,           0.0054714,                   0,             0.91093,             0.90476,             0.91363,             0.45811,            0.036263,           0.0048568,                   0,           0.0028955,           0.0028955,            0.072996
                  25,            0.027742,           0.0057094,                   0,             0.91892,             0.92515,             0.91764,             0.48149,            0.034873,           0.0049309,                   0,           0.0030035,           0.0030035,            0.071903
                  26,            0.028101,           0.0054149,                   0,              0.8471,             0.82917,             0.83705,              0.3655,            0.041035,           0.0060429,                   0,           0.0031105,           0.0031105,             0.07081
                  27,            0.028127,           0.0055099,                   0,              0.8881,             0.86381,             0.87507,             0.44138,            0.037403,           0.0051617,                   0,           0.0032164,           0.0032164,            0.069716
                  28,            0.028512,           0.0057009,                   0,             0.91034,              0.8979,             0.91239,              0.4439,            0.035386,           0.0047606,                   0,           0.0033214,           0.0033214,            0.068621
                  29,            0.027875,           0.0055852,                   0,             0.88234,             0.91821,             0.91605,             0.42241,            0.039071,           0.0047772,                   0,           0.0034253,           0.0034253,            0.067525
                  30,            0.028826,           0.0054968,                   0,             0.88355,             0.87747,             0.88038,             0.41215,            0.039976,           0.0048723,                   0,            0.003528,            0.003528,            0.066428
                  31,            0.028665,            0.005486,                   0,             0.90341,             0.89116,             0.90919,             0.44888,            0.037104,           0.0048441,                   0,           0.0036297,           0.0036297,             0.06533
                  32,            0.027347,           0.0056877,                   0,             0.85626,             0.85714,             0.85882,              0.4112,            0.038843,           0.0050082,                   0,           0.0037301,           0.0037301,             0.06423
                  33,            0.028353,           0.0057011,                   0,             0.90969,             0.89116,             0.90408,             0.44473,            0.036891,           0.0049491,                   0,           0.0038294,           0.0038294,            0.063129
                  34,            0.028851,           0.0055777,                   0,             0.89726,             0.89116,              0.9141,             0.45917,            0.035387,           0.0049679,                   0,           0.0039274,           0.0039274,            0.062027
                  35,            0.027343,           0.0053471,                   0,             0.93007,             0.90471,             0.92674,             0.46456,            0.035952,           0.0047872,                   0,           0.0040242,           0.0040242,            0.060924
                  36,            0.028353,           0.0053921,                   0,             0.89041,             0.88434,             0.90447,              0.4707,            0.035362,           0.0049261,                   0,           0.0041197,           0.0041197,             0.05982
                  37,            0.027268,           0.0056126,                   0,             0.89435,             0.86381,              0.8763,             0.44482,            0.035742,           0.0050617,                   0,           0.0042138,           0.0042138,            0.058714
                  38,             0.02775,           0.0056239,                   0,             0.89189,             0.89796,             0.90343,             0.45191,            0.036057,           0.0048384,                   0,           0.0043066,           0.0043066,            0.057607
                  39,            0.025889,             0.00532,                   0,             0.91213,             0.91837,             0.92788,             0.46538,            0.036097,           0.0049891,                   0,            0.004398,            0.004398,            0.056498
                  40,            0.026521,           0.0052374,                   0,             0.90461,             0.90476,             0.91808,             0.45343,            0.035919,           0.0050199,                   0,            0.004488,            0.004488,            0.055388
                  41,             0.02784,           0.0055418,                   0,             0.90838,             0.87685,             0.88785,             0.38955,            0.039414,            0.005128,                   0,           0.0045766,           0.0045766,            0.054277
                  42,            0.029356,           0.0056041,                   0,             0.84313,              0.8775,             0.87626,             0.41222,             0.03863,           0.0053174,                   0,           0.0046637,           0.0046637,            0.053164
                  43,            0.028497,           0.0057518,                   0,             0.90388,             0.89796,             0.90384,             0.41518,            0.037779,           0.0054986,                   0,           0.0047493,           0.0047493,            0.052049
                  44,            0.028275,            0.005574,                   0,             0.81192,             0.82313,             0.83636,             0.37099,            0.039381,           0.0057926,                   0,           0.0048334,           0.0048334,            0.050933
                  45,            0.028224,           0.0056451,                   0,             0.82203,              0.7551,             0.82236,             0.37517,            0.040797,           0.0054922,                   0,           0.0049159,           0.0049159,            0.049816
                  46,            0.026391,           0.0061409,                   0,             0.83519,             0.89796,             0.88195,             0.45261,            0.036255,           0.0050341,                   0,           0.0049969,           0.0049969,            0.048697
                  47,            0.027417,           0.0053891,                   0,             0.81888,             0.70748,             0.78085,             0.33142,            0.041671,           0.0064475,                   0,           0.0050763,           0.0050763,            0.047576
                  48,            0.028035,           0.0052916,                   0,             0.89261,             0.90476,             0.91763,             0.46577,            0.037098,           0.0050437,                   0,           0.0051541,           0.0051541,            0.046454
                  49,            0.028136,           0.0057402,                   0,             0.80775,             0.82993,             0.81843,             0.42229,            0.038105,           0.0054487,                   0,           0.0052302,           0.0052302,             0.04533
                  50,            0.026836,           0.0057682,                   0,              0.9319,             0.93197,             0.94607,             0.47722,            0.035106,           0.0046249,                   0,           0.0053047,           0.0053047,            0.044205
                  51,            0.027388,           0.0057983,                   0,             0.89999,             0.91824,             0.92267,             0.46743,              0.0356,           0.0049034,                   0,           0.0053775,           0.0053775,            0.043077
                  52,            0.027301,           0.0057158,                   0,             0.90779,             0.87061,             0.91818,             0.44037,            0.037527,           0.0053887,                   0,           0.0054486,           0.0054486,            0.041949
                  53,            0.027546,           0.0059136,                   0,              0.8965,             0.88435,             0.90222,             0.44866,            0.036884,           0.0051562,                   0,            0.005518,            0.005518,            0.040818
                  54,            0.027421,           0.0057178,                   0,              0.8562,             0.89116,             0.88749,             0.43955,             0.03736,           0.0052393,                   0,           0.0055856,           0.0055856,            0.039686
                  55,            0.027251,           0.0058907,                   0,             0.92307,             0.89788,             0.89865,             0.42193,            0.037176,           0.0053744,                   0,           0.0056515,           0.0056515,            0.038552
                  56,            0.027057,           0.0058633,                   0,             0.94735,             0.85714,             0.93688,              0.4202,            0.037582,           0.0052161,                   0,           0.0057156,           0.0057156,            0.037416
