               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11086,            0.016474,                   0,          0.00096138,             0.16327,           0.0005258,          0.00011798,              0.1045,            0.013879,                   0,             0.00032,             0.00032,             0.09712
                   1,            0.099527,            0.016896,                   0,           0.0091673,             0.10204,           0.0028856,          0.00052866,            0.091797,            0.013454,                   0,          0.00064986,          0.00064986,             0.09415
                   2,            0.088206,            0.017679,                   0,            0.049853,            0.068027,            0.017719,           0.0024066,            0.084535,            0.013357,                   0,          0.00097913,          0.00097913,            0.091179
                   3,            0.073938,            0.019331,                   0,              0.1766,              0.2381,             0.09787,            0.027696,            0.063421,            0.014092,                   0,           0.0013074,           0.0013074,            0.088207
                   4,            0.063989,            0.018902,                   0,             0.25226,             0.39456,             0.19606,            0.043537,             0.06379,            0.012066,                   0,           0.0016342,           0.0016342,            0.085234
                   5,            0.060725,            0.017664,                   0,             0.40912,             0.40816,             0.38041,              0.1218,            0.059083,            0.011942,                   0,           0.0019591,           0.0019591,            0.082259
                   6,            0.057553,            0.016065,                   0,             0.55976,             0.60544,             0.58659,             0.22283,            0.052389,            0.010875,                   0,           0.0022817,           0.0022817,            0.079282
                   7,            0.053997,            0.014932,                   0,              0.7105,             0.59184,             0.63804,             0.25369,            0.056416,           0.0091434,                   0,           0.0026015,           0.0026015,            0.076301
                   8,            0.051717,            0.014311,                   0,              0.6431,             0.57823,             0.64581,             0.26301,            0.049515,           0.0092899,                   0,           0.0029182,           0.0029182,            0.073318
                   9,            0.050649,            0.013171,                   0,             0.56346,             0.61224,             0.61616,             0.20362,            0.050469,           0.0085837,                   0,           0.0032312,           0.0032312,            0.070331
                  10,            0.048685,            0.011482,                   0,             0.68502,             0.65097,             0.69634,             0.22468,            0.049213,           0.0078388,                   0,           0.0035403,           0.0035403,             0.06734
                  11,            0.048862,            0.011182,                   0,              0.6448,             0.63265,             0.64263,             0.22717,            0.051412,           0.0077671,                   0,           0.0038449,           0.0038449,            0.064345
                  12,            0.047186,            0.010451,                   0,             0.81731,             0.58503,             0.72258,             0.26774,            0.047456,           0.0071794,                   0,           0.0041447,           0.0041447,            0.061345
                  13,              0.0461,            0.010483,                   0,             0.57296,             0.79406,             0.64236,             0.18113,            0.048529,           0.0064874,                   0,           0.0044394,           0.0044394,            0.058339
                  14,            0.044002,           0.0095634,                   0,              0.8025,             0.83673,             0.80477,             0.33082,            0.042806,           0.0062272,                   0,           0.0047284,           0.0047284,            0.055328
                  15,            0.048156,           0.0096063,                   0,             0.78649,             0.80188,             0.79722,             0.29565,            0.043955,           0.0065288,                   0,           0.0050115,           0.0050115,            0.052312
                  16,            0.049668,           0.0094488,                   0,             0.87228,             0.80272,             0.86889,             0.38562,            0.043103,           0.0062781,                   0,           0.0052883,           0.0052883,            0.049288
                  17,            0.046758,           0.0091132,                   0,             0.67126,             0.82313,             0.75793,             0.30783,             0.04371,           0.0064643,                   0,           0.0055584,           0.0055584,            0.046258
                  18,            0.045749,            0.009046,                   0,             0.71697,             0.74101,             0.69876,             0.27655,            0.046026,           0.0065954,                   0,           0.0058215,           0.0058215,            0.043221
                  19,            0.044426,           0.0089048,                   0,             0.81755,             0.82306,             0.84922,             0.36057,             0.04312,           0.0061564,                   0,           0.0060772,           0.0060772,            0.040177
                  20,            0.044851,           0.0086678,                   0,             0.72816,             0.85644,             0.80808,              0.3332,            0.042053,           0.0056479,                   0,           0.0063253,           0.0063253,            0.037125
                  21,            0.041657,            0.008265,                   0,             0.74472,              0.4966,             0.56707,             0.24132,            0.049889,           0.0082036,                   0,           0.0065654,           0.0065654,            0.034065
                  22,            0.042335,            0.008699,                   0,             0.87485,             0.85714,             0.85987,             0.34774,            0.040163,           0.0055269,                   0,           0.0067972,           0.0067972,            0.030997
                  23,             0.04196,           0.0082882,                   0,             0.62718,             0.68665,              0.6598,             0.24125,            0.049795,           0.0071421,                   0,           0.0070205,           0.0070205,            0.027921
                  24,            0.042485,           0.0083782,                   0,             0.80947,             0.80922,             0.77919,             0.31855,            0.045244,           0.0060262,                   0,            0.007235,            0.007235,            0.024835
                  25,            0.046062,           0.0084704,                   0,             0.80805,             0.77551,             0.82313,             0.31933,            0.045291,           0.0056763,                   0,           0.0074405,           0.0074405,             0.02174
                  26,            0.045129,           0.0083448,                   0,             0.71211,             0.67347,             0.62672,             0.24485,            0.048262,             0.00685,                   0,           0.0076366,           0.0076366,            0.018637
                  27,            0.042805,            0.008433,                   0,             0.48447,             0.32653,             0.28816,            0.090728,            0.071874,           0.0081172,                   0,           0.0078233,           0.0078233,            0.015523
                  28,            0.041504,           0.0084221,                   0,             0.78719,              0.7549,             0.78228,             0.30828,            0.044091,           0.0058166,                   0,           0.0080002,           0.0080002,              0.0124
                  29,            0.043081,           0.0079585,                   0,             0.81152,             0.76152,             0.78345,             0.34452,            0.042415,           0.0058314,                   0,           0.0081672,           0.0081672,           0.0092672
                  30,            0.040735,           0.0080709,                   0,             0.74296,             0.72789,             0.73573,             0.33318,            0.044646,           0.0060399,                   0,            0.008145,            0.008145,            0.008145
                  31,            0.041408,           0.0078433,                   0,             0.78762,             0.78231,             0.75792,             0.30083,            0.042966,            0.005893,                   0,            0.008145,            0.008145,            0.008145
                  32,            0.042178,           0.0079443,                   0,             0.60211,             0.55782,             0.57572,             0.19725,            0.050407,           0.0079577,                   0,           0.0080294,           0.0080294,           0.0080294
                  33,            0.040129,           0.0082217,                   0,             0.87979,             0.70068,              0.7659,             0.34606,            0.042941,            0.006187,                   0,           0.0079112,           0.0079112,           0.0079112
                  34,            0.039051,           0.0076934,                   0,             0.60327,              0.4966,              0.4729,             0.18753,            0.054077,           0.0072653,                   0,           0.0077907,           0.0077907,           0.0077907
                  35,            0.037572,            0.007439,                   0,             0.91397,             0.82993,             0.91956,             0.40753,            0.039162,           0.0052409,                   0,           0.0076679,           0.0076679,           0.0076679
                  36,            0.038797,           0.0076794,                   0,             0.81243,             0.79592,             0.84191,              0.3941,            0.039367,           0.0057191,                   0,            0.007543,            0.007543,            0.007543
                  37,            0.037964,           0.0077904,                   0,             0.85899,             0.87075,             0.87088,             0.36601,            0.040596,           0.0054522,                   0,            0.007416,            0.007416,            0.007416
                  38,            0.037384,           0.0076815,                   0,             0.82703,             0.68707,             0.73771,             0.31236,            0.044659,           0.0060587,                   0,           0.0072872,           0.0072872,           0.0072872
                  39,            0.034985,           0.0074127,                   0,             0.72782,             0.72762,             0.69874,             0.28409,            0.045385,           0.0060331,                   0,           0.0071566,           0.0071566,           0.0071566
                  40,            0.034888,           0.0071573,                   0,             0.85209,             0.82299,             0.84754,             0.37923,            0.040144,            0.005236,                   0,           0.0070243,           0.0070243,           0.0070243
                  41,            0.036368,           0.0073964,                   0,             0.69697,             0.70748,             0.66996,             0.22829,             0.05039,           0.0064407,                   0,           0.0068906,           0.0068906,           0.0068906
                  42,            0.035911,           0.0071016,                   0,             0.88875,             0.92517,             0.92908,             0.44782,             0.03638,           0.0048679,                   0,           0.0067555,           0.0067555,           0.0067555
                  43,            0.033192,           0.0071832,                   0,             0.90722,             0.93197,             0.93419,             0.44791,            0.035431,           0.0047526,                   0,           0.0066191,           0.0066191,           0.0066191
                  44,            0.033132,           0.0069363,                   0,             0.92907,             0.89103,              0.9348,             0.41892,             0.03876,           0.0049589,                   0,           0.0064816,           0.0064816,           0.0064816
                  45,             0.03216,           0.0066827,                   0,             0.86711,             0.84334,             0.87312,             0.40196,            0.039658,           0.0054548,                   0,           0.0063432,           0.0063432,           0.0063432
                  46,            0.032765,           0.0074403,                   0,             0.93006,             0.90466,             0.92342,             0.44552,            0.036731,           0.0050477,                   0,            0.006204,            0.006204,            0.006204
                  47,            0.032448,           0.0067517,                   0,             0.92409,             0.91156,             0.89976,             0.45205,            0.034929,           0.0047821,                   0,            0.006064,            0.006064,            0.006064
                  48,            0.033154,           0.0063812,                   0,             0.90272,             0.88435,             0.90836,             0.45038,              0.0362,            0.005014,                   0,           0.0059235,           0.0059235,           0.0059235
                  49,            0.031244,           0.0070019,                   0,             0.89649,             0.88435,             0.90781,             0.47791,            0.035623,           0.0048052,                   0,           0.0057826,           0.0057826,           0.0057826
                  50,             0.03107,            0.006717,                   0,               0.913,             0.85714,             0.89136,             0.45598,            0.037223,           0.0051137,                   0,           0.0056413,           0.0056413,           0.0056413
                  51,            0.031123,           0.0068505,                   0,             0.92357,             0.90476,             0.92695,             0.46945,            0.036143,           0.0048509,                   0,              0.0055,              0.0055,              0.0055
                  52,            0.030123,           0.0067939,                   0,             0.89724,             0.89092,              0.9176,             0.49561,             0.03387,           0.0046849,                   0,           0.0053587,           0.0053587,           0.0053587
                  53,            0.030324,           0.0066901,                   0,             0.91949,             0.85714,             0.89767,             0.46109,            0.036357,           0.0049076,                   0,           0.0052174,           0.0052174,           0.0052174
                  54,            0.029973,           0.0067156,                   0,             0.93054,             0.91134,             0.93062,             0.48689,            0.033144,           0.0046216,                   0,           0.0050765,           0.0050765,           0.0050765
                  55,            0.030382,           0.0065423,                   0,             0.90662,             0.92517,             0.93656,             0.48542,            0.034591,           0.0046594,                   0,            0.004936,            0.004936,            0.004936
                  56,            0.028181,           0.0066087,                   0,             0.90602,             0.91817,             0.91817,             0.51749,            0.033066,           0.0046467,                   0,            0.004796,            0.004796,            0.004796
                  57,            0.029382,           0.0059904,                   0,              0.9034,             0.89116,             0.89627,              0.4769,            0.034364,           0.0047128,                   0,           0.0046568,           0.0046568,           0.0046568
                  58,            0.027252,           0.0065536,                   0,             0.87499,             0.90472,             0.89631,             0.47798,            0.033722,           0.0047543,                   0,           0.0045184,           0.0045184,           0.0045184
                  59,            0.026885,           0.0061288,                   0,             0.87814,             0.88435,             0.89495,             0.47875,            0.034381,            0.004808,                   0,           0.0043809,           0.0043809,           0.0043809
                  60,            0.027062,           0.0057918,                   0,             0.88742,             0.91155,             0.91195,             0.48257,             0.03399,           0.0049405,                   0,           0.0042445,           0.0042445,           0.0042445
                  61,            0.026814,           0.0062086,                   0,             0.90333,             0.89116,             0.91375,             0.48665,            0.033816,           0.0048114,                   0,           0.0041094,           0.0041094,           0.0041094
                  62,            0.026916,             0.00597,                   0,             0.94444,             0.92517,              0.9436,             0.50733,            0.033602,           0.0046468,                   0,           0.0039757,           0.0039757,           0.0039757
                  63,            0.026156,           0.0062724,                   0,             0.92957,             0.89791,             0.93061,             0.50648,            0.033089,           0.0045971,                   0,           0.0038434,           0.0038434,           0.0038434
                  64,            0.026637,           0.0061649,                   0,             0.92617,              0.9387,             0.94032,             0.50033,            0.033486,           0.0046582,                   0,           0.0037128,           0.0037128,           0.0037128
                  65,            0.027152,           0.0058791,                   0,             0.92617,             0.93875,              0.9431,             0.52311,            0.032338,           0.0045997,                   0,            0.003584,            0.003584,            0.003584
                  66,            0.026621,            0.006171,                   0,             0.93216,             0.93878,             0.93655,             0.51288,            0.032392,           0.0046926,                   0,            0.003457,            0.003457,            0.003457
                  67,            0.026279,           0.0060568,                   0,             0.93877,              0.9387,             0.94157,             0.48823,            0.033961,           0.0047028,                   0,           0.0033321,           0.0033321,           0.0033321
                  68,             0.02621,           0.0062909,                   0,             0.93873,             0.93878,             0.94636,             0.50572,            0.032944,           0.0046836,                   0,           0.0032093,           0.0032093,           0.0032093
                  69,            0.025308,           0.0059487,                   0,             0.91892,             0.92516,             0.94371,             0.51798,            0.032844,            0.004601,                   0,           0.0030888,           0.0030888,           0.0030888
                  70,            0.024921,           0.0057511,                   0,             0.91034,             0.89794,             0.92385,             0.48839,            0.033104,            0.004659,                   0,           0.0029706,           0.0029706,           0.0029706
                  71,            0.024737,           0.0057754,                   0,             0.90665,             0.92517,             0.92722,              0.4931,            0.033144,           0.0047081,                   0,            0.002855,            0.002855,            0.002855
                  72,            0.025443,           0.0060396,                   0,             0.90185,             0.93878,             0.92839,             0.51002,            0.032784,           0.0047376,                   0,           0.0027419,           0.0027419,           0.0027419
                  73,            0.025141,           0.0058558,                   0,             0.91275,             0.92515,             0.91212,             0.50651,            0.032744,           0.0046437,                   0,           0.0026316,           0.0026316,           0.0026316
                  74,            0.023818,           0.0054161,                   0,             0.92514,             0.92517,             0.92286,             0.51105,            0.032089,           0.0046685,                   0,           0.0025241,           0.0025241,           0.0025241
                  75,            0.023152,           0.0058457,                   0,              0.9241,             0.91156,             0.92182,             0.52416,            0.032622,           0.0047267,                   0,           0.0024195,           0.0024195,           0.0024195
                  76,            0.024055,           0.0055345,                   0,             0.92084,             0.87075,             0.92271,             0.51003,             0.03322,           0.0047821,                   0,            0.002318,            0.002318,            0.002318
                  77,            0.023828,           0.0055319,                   0,             0.93053,             0.91156,             0.93169,             0.52533,             0.03213,           0.0047342,                   0,           0.0022196,           0.0022196,           0.0022196
                  78,            0.023351,            0.005172,                   0,             0.93101,             0.91837,             0.93494,             0.51991,            0.032312,           0.0048673,                   0,           0.0021245,           0.0021245,           0.0021245
                  79,            0.023623,           0.0054208,                   0,             0.90472,             0.90476,             0.91997,             0.50281,            0.032825,           0.0048839,                   0,           0.0020327,           0.0020327,           0.0020327
                  80,            0.023007,           0.0054162,                   0,             0.94406,             0.91836,             0.94558,             0.51502,            0.032492,           0.0047838,                   0,           0.0019443,           0.0019443,           0.0019443
                  81,            0.023096,           0.0055325,                   0,             0.91156,             0.91147,             0.93858,              0.5182,            0.032624,           0.0046861,                   0,           0.0018594,           0.0018594,           0.0018594
                  82,            0.022625,           0.0053012,                   0,             0.93197,             0.93197,             0.95551,             0.52027,            0.032708,           0.0047822,                   0,           0.0017781,           0.0017781,           0.0017781
                  83,            0.022276,           0.0049936,                   0,             0.92465,             0.91833,             0.92972,             0.51242,            0.033095,           0.0048535,                   0,           0.0017005,           0.0017005,           0.0017005
