               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.032874,           0.0077613,                   0,             0.86986,             0.86394,             0.87454,             0.38552,            0.037824,           0.0057703,                   0,           0.0011009,           0.0011009,            0.055601
                  38,            0.031653,           0.0076576,                   0,             0.89923,             0.91156,             0.89807,             0.47841,            0.033454,           0.0051857,                   0,           0.0010366,           0.0010366,            0.054337
                  39,            0.030688,           0.0075182,                   0,              0.9114,             0.91156,             0.90201,             0.47406,            0.033389,           0.0051588,                   0,          0.00097366,          0.00097366,            0.053074
                  40,            0.030647,           0.0070818,                   0,             0.89041,             0.88435,             0.88772,             0.43049,            0.034961,           0.0052093,                   0,          0.00091298,          0.00091298,            0.051813
                  41,             0.03137,           0.0072526,                   0,             0.89723,             0.89089,             0.86918,             0.42816,            0.034607,           0.0051594,                   0,          0.00085536,          0.00085536,            0.050555
                  42,            0.030375,           0.0072836,                   0,             0.90333,             0.89116,             0.87332,             0.43845,            0.034958,           0.0050964,                   0,          0.00080166,          0.00080166,            0.049302
                  43,            0.029895,           0.0073093,                   0,             0.91664,             0.89761,             0.89877,             0.47162,            0.033565,           0.0050317,                   0,           0.0007527,           0.0007527,            0.048053
                  44,             0.02955,           0.0071427,                   0,             0.91595,             0.89116,             0.92122,              0.4731,             0.03378,           0.0050191,                   0,          0.00070933,          0.00070933,            0.046809
                  45,            0.029083,           0.0070871,                   0,             0.88864,             0.87075,             0.87526,             0.44474,            0.035315,           0.0050589,                   0,          0.00067236,          0.00067236,            0.045572
                  46,            0.028675,           0.0076763,                   0,             0.90344,             0.89116,             0.88184,               0.473,            0.033904,           0.0050818,                   0,          0.00064259,          0.00064259,            0.044343
                  47,            0.029537,           0.0067512,                   0,             0.83446,               0.823,             0.83818,             0.38989,            0.038707,           0.0058633,                   0,          0.00062083,          0.00062083,            0.043121
                  48,            0.029041,            0.006726,                   0,             0.92413,             0.91152,             0.89704,              0.4476,            0.034185,           0.0052717,                   0,          0.00060783,          0.00060783,            0.041908
                  49,            0.028972,           0.0070806,                   0,             0.90277,             0.88432,             0.88868,             0.48027,            0.033646,           0.0049553,                   0,          0.00060432,          0.00060432,            0.040704
