               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,             0.03735,           0.0076154,                   0,             0.85118,             0.85714,             0.88389,             0.37335,            0.040654,           0.0054018,                   0,           0.0036622,           0.0036622,            0.058162
                  38,            0.036448,           0.0075268,                   0,             0.89357,             0.85677,             0.84256,             0.36569,             0.03786,           0.0052302,                   0,           0.0037131,           0.0037131,            0.057013
                  39,            0.037218,           0.0074996,                   0,             0.84088,             0.75496,             0.78434,             0.33036,            0.041434,           0.0062329,                   0,           0.0037607,           0.0037607,            0.055861
                  40,             0.03696,           0.0075091,                   0,              0.8243,             0.82977,             0.81186,             0.32417,            0.042036,           0.0054558,                   0,           0.0038053,           0.0038053,            0.054705
                  41,            0.038318,           0.0075126,                   0,             0.81244,             0.61905,             0.68604,             0.26809,            0.045474,           0.0064073,                   0,           0.0038465,           0.0038465,            0.053547
                  42,              0.0371,           0.0076413,                   0,             0.77703,             0.78231,             0.76106,             0.34765,            0.041898,            0.006155,                   0,           0.0038846,           0.0038846,            0.052385
                  43,            0.035646,           0.0071828,                   0,             0.89325,             0.91156,             0.91489,             0.39035,            0.038166,           0.0050387,                   0,           0.0039195,           0.0039195,            0.051219
                  44,            0.035856,           0.0075692,                   0,             0.89393,             0.80262,             0.85604,             0.32093,            0.043804,           0.0054279,                   0,            0.003951,            0.003951,            0.050051
                  45,            0.034575,           0.0072695,                   0,             0.82535,             0.83588,             0.85105,             0.39421,            0.039654,           0.0052913,                   0,           0.0039794,           0.0039794,            0.048879
                  46,            0.036252,            0.006925,                   0,             0.74087,             0.83631,             0.79111,             0.35182,            0.041797,           0.0059128,                   0,           0.0040044,           0.0040044,            0.047704
                  47,            0.034551,           0.0071548,                   0,             0.89274,             0.85034,             0.89776,             0.43426,            0.037943,           0.0053915,                   0,           0.0040262,           0.0040262,            0.046526
                  48,            0.036208,           0.0071828,                   0,              0.8805,             0.80201,             0.87172,             0.41683,            0.038154,           0.0053472,                   0,           0.0040448,           0.0040448,            0.045345
                  49,            0.032312,           0.0071403,                   0,             0.89996,             0.91837,             0.93629,             0.44016,            0.035936,           0.0048985,                   0,           0.0040601,           0.0040601,             0.04416
                  50,            0.033428,           0.0068214,                   0,             0.89208,             0.84352,             0.87025,              0.4285,            0.037484,            0.005178,                   0,           0.0040721,           0.0040721,            0.042972
                  51,            0.032232,           0.0068392,                   0,             0.88513,             0.89114,             0.87789,             0.43464,            0.035525,           0.0051182,                   0,            0.004081,            0.004081,            0.041781
                  52,            0.032994,           0.0068843,                   0,             0.87968,             0.79578,             0.81771,             0.38302,            0.040691,           0.0056578,                   0,           0.0040866,           0.0040866,            0.040587
                  53,            0.032912,           0.0067027,                   0,             0.87332,             0.89102,             0.87354,             0.42016,            0.037773,           0.0051451,                   0,           0.0040891,           0.0040891,            0.039389
                  54,            0.032803,           0.0071414,                   0,              0.9041,             0.89796,             0.89672,             0.43474,            0.036458,            0.005065,                   0,           0.0040884,           0.0040884,            0.038188
                  55,            0.031474,           0.0068784,                   0,             0.92247,             0.89038,             0.89379,             0.45464,            0.034974,           0.0047789,                   0,           0.0040846,           0.0040846,            0.036985
                  56,            0.032991,           0.0071526,                   0,             0.87838,             0.83673,             0.83894,             0.42245,            0.038279,           0.0053653,                   0,           0.0040778,           0.0040778,            0.035778
                  57,            0.032208,           0.0068555,                   0,              0.8748,             0.90476,             0.90014,             0.43097,             0.03709,           0.0052565,                   0,           0.0040679,           0.0040679,            0.034568
                  58,            0.032139,           0.0068032,                   0,             0.89542,             0.93189,              0.9293,             0.47405,            0.034041,           0.0048218,                   0,            0.004055,            0.004055,            0.033355
                  59,            0.031598,           0.0064598,                   0,             0.91634,             0.89796,             0.92217,             0.44785,            0.036418,           0.0050885,                   0,           0.0040392,           0.0040392,            0.032139
                  60,             0.03155,           0.0065517,                   0,             0.81057,             0.72772,             0.78804,             0.35245,            0.040805,           0.0060703,                   0,           0.0040205,           0.0040205,            0.030921
                  61,            0.030958,           0.0065738,                   0,             0.87585,             0.86389,             0.87193,             0.38139,            0.038841,           0.0051597,                   0,            0.003999,            0.003999,            0.029699
                  62,            0.030288,           0.0063821,                   0,             0.90071,             0.86391,             0.91847,             0.47899,             0.03583,           0.0049052,                   0,           0.0039747,           0.0039747,            0.028475
                  63,            0.029865,           0.0062162,                   0,             0.89253,             0.90476,              0.9117,             0.46689,            0.034286,             0.00483,                   0,           0.0039477,           0.0039477,            0.027248
